type,time,id,speed,relative_position
,62.1,f_1W.0,7.36,485.17
,62.2,f_1W.0,7.06,485.88
,62.3,f_1W.0,6.76,486.55
,62.4,f_1W.0,6.46,487.2
,62.5,f_1W.0,6.16,487.81
,62.6,f_1W.0,5.86,488.4
,62.7,f_1W.0,5.56,488.96
,62.8,f_1W.0,5.26,489.48
,62.9,f_1W.0,5,489.98
,63,f_1W.0,4.7,490.45
,63.1,f_1W.0,4.4,490.89
,63.2,f_1W.0,4.1,491.3
,63.3,f_1W.0,3.8,491.68
,63.4,f_1W.0,3.5,492.03
,63.5,f_1W.0,3.2,492.35
,63.6,f_1W.0,2.9,492.64
,63.7,f_1W.0,2.6,492.9
,63.8,f_1W.0,2.3,493.13
,63.9,f_1W.0,2,493.33
,64,f_1W.0,1.7,493.5
,64.1,f_1W.0,1.4,493.64
,64.2,f_1W.0,1.1,493.75
,64.3,f_1W.0,0.8,493.83
,64.4,f_1W.0,0.5,493.88
,64.5,f_1W.0,0.21,493.9
,64.6,f_1W.0,0,493.9
,64.7,f_1W.0,0,493.9
,64.8,f_1W.0,0,493.9
,64.9,f_1W.0,0,493.9
,65,f_1W.0,0,493.9
,65.1,f_1W.0,0,493.9
,65.2,f_1W.0,0,493.9
,65.3,f_1W.0,0,493.9
,65.4,f_1W.0,0,493.9
,65.5,f_1W.0,0,493.9
,65.6,f_1W.0,0,493.9
,65.7,f_1W.0,0,493.9
,65.8,f_1W.0,0,493.9
,65.9,f_1W.0,0,493.9
,66,f_1W.0,0.24,493.92
,66.1,f_1W.0,0.47,493.97
,66.2,f_1W.0,0.71,494.04
,66.3,f_1W.0,0.94,494.14
,66.4,f_1W.0,1.14,494.25
,66.5,f_1W.0,1.36,494.39
,66.6,f_1W.0,1.57,494.54
,66.7,f_1W.0,1.77,494.72
,66.8,f_1W.0,1.98,494.92
,66.9,f_1W.0,2.18,495.14
,67,f_1W.0,2.36,495.37
,67.1,f_1W.0,2.51,495.62
,67.2,f_1W.0,2.74,495.9
,67.3,f_1W.0,2.88,496.19
,67.4,f_1W.0,3.05,496.49
,67.5,f_1W.0,3.19,496.81
,67.6,f_1W.0,3.37,497.15
,67.7,f_1W.0,3.58,497.5
,67.8,f_1W.0,3.72,497.88
,67.9,f_1W.0,3.87,498.26
,68,f_1W.0,4.09,498.67
,68.1,f_1W.0,4.28,499.1
,68.2,f_1W.0,4.5,499.55
,68.3,f_1W.0,4.63,500.01
,68.4,f_1W.0,4.8,500.49
,68.5,f_1W.0,4.99,500.99
,68.6,f_1W.0,5.14,501.51
,68.7,f_1W.0,5.37,502.04
,68.8,f_1W.0,5.55,502.6
,68.9,f_1W.0,5.72,503.17
,69,f_1W.0,5.91,503.76
,69.1,f_1W.0,6.07,504.37
,69.2,f_1W.0,6.21,504.99
,69.3,f_1W.0,6.34,505.62
,69.4,f_1W.0,6.5,506.27
,69.5,f_1W.0,6.66,506.94
,69.6,f_1W.0,6.87,507.63
,69.7,f_1W.0,7,508.33
,69.8,f_1W.0,7.18,509.04
,69.9,f_1W.0,7.39,509.78
,70,f_1W.0,7.6,510.54
,70.1,f_1W.0,7.76,511.32
,70.2,f_1W.0,7.92,512.11
,70.3,f_1W.0,8.11,512.92
,70.4,f_1W.0,8.36,513.76
,70.5,f_1W.0,8.52,514.61
,70.6,f_1W.0,8.71,515.48
,70.7,f_1W.0,8.87,516.37
,70.8,f_1W.0,9.08,517.28
,70.9,f_1W.0,9.21,518.2
,71,f_1W.0,9.43,519.14
,71.1,f_1W.0,9.59,520.1
,71.2,f_1W.0,9.74,521.07
,71.3,f_1W.0,9.89,522.06
,71.4,f_1W.0,10.09,523.07
,71.5,f_1W.0,10.32,524.1
,71.6,f_1W.0,10.45,525.15
,71.7,f_1W.0,10.62,526.21
,71.8,f_1W.0,10.82,527.29
,71.9,f_1W.0,10.96,528.39
,72,f_1W.0,11.21,529.51
,72.1,f_1W.0,11.34,530.64
,72.2,f_1W.0,11.52,531.79
,72.3,f_1W.0,11.73,532.97
,72.4,f_1W.0,11.87,534.15
,72.5,f_1W.0,12.06,535.36
,72.6,f_1W.0,12.3,536.59
,72.7,f_1W.0,12.54,537.84
,72.8,f_1W.0,12.78,539.12
,72.9,f_1W.0,12.93,540.41
,73,f_1W.0,13.08,541.72
,73.1,f_1W.0,13.33,543.06
,73.2,f_1W.0,13.56,544.41
,73.3,f_1W.0,13.73,545.78
,73.4,f_1W.0,13.8,547.17
,73.5,f_1W.0,13.86,548.55
,73.6,f_1W.0,13.84,549.94
,73.7,f_1W.0,13.81,551.32
,73.8,f_1W.0,13.78,552.69
,73.9,f_1W.0,13.83,554.08
,74,f_1W.0,13.77,555.45
,74.1,f_1W.0,13.81,556.83
,74.2,f_1W.0,13.79,558.21
,74.3,f_1W.0,13.88,559.6
,74.4,f_1W.0,13.81,560.98
,74.5,f_1W.0,13.8,562.36
,74.6,f_1W.0,13.87,563.75
,74.7,f_1W.0,13.89,565.14
,74.8,f_1W.0,13.84,566.52
,74.9,f_1W.0,13.87,567.91
,75,f_1W.0,13.78,569.29
,75.1,f_1W.0,13.89,570.68
,75.2,f_1W.0,13.77,572.05
,75.3,f_1W.0,13.8,573.43
,75.4,f_1W.0,13.88,574.82
,75.5,f_1W.0,13.79,576.2
,75.6,f_1W.0,13.86,577.59
,75.7,f_1W.0,13.89,578.97
,75.8,f_1W.0,13.88,580.36
,75.9,f_1W.0,13.87,581.75
,76,f_1W.0,13.79,583.13
,76.1,f_1W.0,13.84,584.51
,76.2,f_1W.0,13.84,585.9
,76.3,f_1W.0,13.81,587.28
,76.4,f_1W.0,13.83,588.66
,76.5,f_1W.0,13.81,590.04
,76.6,f_1W.0,13.82,591.42
,76.7,f_1W.0,13.85,592.81
,76.8,f_1W.0,13.88,594.2
,76.9,f_1W.0,13.79,595.58
,77,f_1W.0,13.89,596.96
,77.1,f_1W.0,13.85,598.35
